Country,Income
Andorra,High
Antigua and Barbuda,High
Aruba,High
Australia,High
Austria,High
"Bahamas, The",High
Bahrain,High
Barbados,High
Belgium,High
Bermuda,High
British Virgin Islands,High
Brunei Darussalam,High
Canada,High
Cayman Islands,High
Channel Islands,High
Chile,High
Croatia,High
Curaçao,High
Cyprus,High
Czech Republic,High
Denmark,High
Estonia,High
Faroe Islands,High
Finland,High
France,High
French Polynesia,High
Germany,High
Gibraltar,High
Greece,High
Greenland,High
Guam,High
"Hong Kong SAR, China",High
Hungary,High
Iceland,High
Ireland,High
Isle of Man,High
Israel,High
Italy,High
Japan,High
"Korea, Rep.",High
Kuwait,High
Latvia,High
Liechtenstein,High
Lithuania,High
Luxembourg,High
"Macao SAR, China",High
Malta,High
Monaco,High
Nauru,High
Netherlands,High
New Caledonia  ,High
New Zealand,High
Northern Mariana Islands,High
Norway,High
Oman,High
Panama,High
Poland,High
Portugal,High
Puerto Rico,High
Qatar,High
Romania,High
San Marino,High
Saudi Arabia,High
Seychelles,High
Singapore,High
Sint Maarten (Dutch part),High
Slovak Republic,High
Slovenia,High
Spain,High
St. Kitts and Nevis,High
St. Martin (French part),High
Sweden,High
Switzerland,High
Taiwan,High
Trinidad and Tobago,High
Turks and Caicos Islands,High
United Arab Emirates,High
United Kingdom,High
United States,High
Uruguay,High
Virgin Islands (U.S.),High
Afghanistan,Low
Burkina Faso,Low
Burundi,Low
Central African Republic,Low
Chad,Low
"Congo, Dem. Rep.",Low
Eritrea,Low
Ethiopia,Low
"Gambia, The",Low
Guinea,Low
Guinea-Bissau,Low
"Korea, Dem. People’s Rep.",Low
Liberia,Low
Madagascar,Low
Malawi,Low
Mali,Low
Mozambique,Low
Niger,Low
Rwanda,Low
Sierra Leone,Low
Somalia,Low
South Sudan,Low
Sudan,Low
Syrian Arab Republic,Low
Togo,Low
Uganda,Low
"Yemen, Rep.",Low
Zambia,Low
Angola,Lower-middle
Algeria,Lower-middle
Bangladesh,Lower-middle
Benin,Lower-middle
Bhutan,Lower-middle
Bolivia,Lower-middle
Cabo Verde,Lower-middle
Cambodia,Lower-middle
Cameroon,Lower-middle
Comoros,Lower-middle
"Congo, Rep.",Lower-middle
Cote d'Ivoire,Lower-middle
Djibouti,Lower-middle
"Egypt, Arab Rep.",Lower-middle
El Salvador,Lower-middle
Eswatini,Lower-middle
Ghana,Lower-middle
Haiti,Lower-middle
Honduras,Lower-middle
India,Lower-middle
Indonesia,Lower-middle
"Iran, Islamic Rep.",Lower-middle
Kenya,Lower-middle
Kiribati,Lower-middle
Kyrgyz Republic,Lower-middle
Lao PDR,Lower-middle
Lebanon,Lower-middle
Lesotho,Lower-middle
Mauritania,Lower-middle
"Micronesia, Fed. Sts.",Lower-middle
Mongolia,Lower-middle
Morocco,Lower-middle
Myanmar,Lower-middle
Nepal,Lower-middle
Nicaragua,Lower-middle
Nigeria,Lower-middle
Pakistan,Lower-middle
Papua New Guinea,Lower-middle
Philippines,Lower-middle
Samoa,Lower-middle
São Tomé and Principe,Lower-middle
Senegal,Lower-middle
Solomon Islands,Lower-middle
Sri Lanka,Lower-middle
Tanzania,Lower-middle
Tajikistan,Lower-middle
Timor-Leste,Lower-middle
Tunisia,Lower-middle
Ukraine,Lower-middle
Uzbekistan,Lower-middle
Vanuatu,Lower-middle
Vietnam,Lower-middle
West Bank and Gaza,Lower-middle
Zimbabwe,Lower-middle
Albania,Upper-middle
American Samoa,Upper-middle
Argentina,Upper-middle
Armenia,Upper-middle
Azerbaijan,Upper-middle
Belarus,Upper-middle
Belize,Upper-middle
Bosnia and Herzegovina,Upper-middle
Botswana,Upper-middle
Brazil,Upper-middle
Bulgaria,Upper-middle
China,Upper-middle
Colombia,Upper-middle
Costa Rica,Upper-middle
Cuba,Upper-middle
Dominica,Upper-middle
Dominican Republic,Upper-middle
Equatorial Guinea,Upper-middle
Ecuador,Upper-middle
Fiji,Upper-middle
Gabon,Upper-middle
Georgia,Upper-middle
Grenada,Upper-middle
Guatemala,Upper-middle
Guyana,Upper-middle
Iraq,Upper-middle
Jamaica,Upper-middle
Jordan,Upper-middle
Kazakhstan,Upper-middle
Kosovo,Upper-middle
Libya,Upper-middle
Malaysia,Upper-middle
Maldives,Upper-middle
Marshall Islands,Upper-middle
Mauritius,Upper-middle
Mexico,Upper-middle
Moldova,Upper-middle
Montenegro,Upper-middle
Namibia,Upper-middle
North Macedonia,Upper-middle
Palau,Upper-middle
Paraguay,Upper-middle
Peru,Upper-middle
Russian Federation,Upper-middle
Serbia,Upper-middle
South Africa,Upper-middle
St. Lucia,Upper-middle
St. Vincent and the Grenadines,Upper-middle
Suriname,Upper-middle
Thailand,Upper-middle
Tonga,Upper-middle
Türkiye,Upper-middle
Turkmenistan,Upper-middle
Tuvalu,Upper-middle
