"State_county","Name","Acres"
"12_29","Dixie County",678.3
"12_33","Escambia County",2170
"12_35","Flagler County",131.8
"12_39","Gadsden County",752.6
"12_41","Gilchrist County",3409
"12_47","Hamilton County",3107.1
"12_51","Hendry County",701.09
"12_55","Highlands County",355
"12_59","Holmes County",1758.2
"12_63","Jackson County",3160.15
"12_65","Jefferson County",2013.49
"12_67","Lafayette County",2234.7
"12_73","Leon County",1927.9
"12_75","Levy County",315
"12_79","Madison County",7040.6
"12_81","Manatee County",690.8
"12_83","Marion County",23.8
"12_85","Martin County",349.74
"12_89","Nassau County",696.9
"12_91","Okaloosa County",477.05
"12_93","Okeechobee County",147.3
"12_99","Palm Beach County",8160.2
"12_107","Putnam County",382.2
"12_109","St. Johns County",241
"12_113","Santa Rosa County",651.95
"12_121","Suwannee County",4695.8
"12_125","Union County",59.8
"12_129","Wakulla County",34
"12_131","Walton County",353.55
"12_133","Washington County",666.7
"13_1","Appling County",3594.3
"13_3","Atkinson County",2798.6
"13_5","Bacon County",2497.4
"13_7","Baker County",7164.4
"13_11","Banks County",90.7
"13_15","Bartow County",1937.9
"13_17","Ben Hill County",2005.8
"13_19","Berrien County",3474.8
"13_21","Bibb County",139.4
"13_23","Bleckley County",3377.2
"13_25","Brantley County",796.2
"13_27","Brooks County",5066.9
"13_29","Bryan County",391.8
"13_31","Bulloch County",3202.1
"13_33","Burke County",10384.08
"13_35","Butts County",4.1
"13_37","Calhoun County",11394.1
"13_43","Candler County",1492.45
"13_47","Catoosa County",141.1
"13_49","Charlton County",19.6
"13_51","Chatham County",30
"13_55","Chattooga County",1343.2
"13_59","Clarke County",0.1
"13_61","Clay County",1246.8
"13_65","Clinch County",183
"13_69","Coffee County",4522.4
"13_71","Colquitt County",3156.9
"13_73","Columbia County",19.7
"13_75","Cook County",881.73
"13_77","Coweta County",3
"13_79","Crawford County",162.7
"13_81","Crisp County",1061.9
"13_83","Dade County",409.9
"13_85","Dawson County",198.3
"13_87","Decatur County",20551.7
"13_91","Dodge County",2707.5
"13_93","Dooly County",4364.1
"13_95","Dougherty County",1070
"13_99","Early County",9451.6
"13_101","Echols County",1038.6
"13_103","Effingham County",1963
"13_105","Elbert County",378.4
"13_107","Emanuel County",2365.8
"13_109","Evans County",1602.7
"13_111","Fannin County",139.8
"13_115","Floyd County",3064.9
"13_119","Franklin County",372.5
"13_123","Gilmer County",199.5
"13_125","Glascock County",5
"13_127","Glynn County",45.39
"13_129","Gordon County",3245.8
"13_131","Grady County",8323.5
"13_133","Greene County",232.1
"13_137","Habersham County",213.5
"13_139","Hall County",820.3
"13_143","Haralson County",621.9
"13_145","Harris County",20.4
"13_147","Hart County",935.5
"13_151","Henry County",32.7
"13_153","Houston County",2163.2
"13_155","Irwin County",6159.6
"13_161","Jeff Davis County",1902.9
"13_163","Jefferson County",7591.4
"13_165","Jenkins County",1362.9
"13_167","Johnson County",999.7
"13_169","Jones County",2
"13_171","Lamar County",440.8
"13_173","Lanier County",983
"13_175","Laurens County",5563.1
"13_177","Lee County",12903.7
"13_179","Liberty County",175.5
"13_183","Long County",211.55
"13_185","Lowndes County",2294.4
"13_187","Lumpkin County",246.1
"13_189","McDuffie County",422.1
"13_193","Macon County",8941.5
"13_195","Madison County",18.8
"13_197","Marion County",1811.6
"13_201","Miller County",8815.1
"13_205","Mitchell County",20017.5
"13_207","Monroe County",98.1
"13_209","Montgomery County",1326.4
"13_211","Morgan County",499.6
"13_213","Murray County",1281.5
"13_215","Muscogee County",1
"13_217","Newton County",1
"13_219","Oconee County",207.1
"13_221","Oglethorpe County",1191
"13_225","Peach County",2233.3
"13_227","Pickens County",100.4
"13_229","Pierce County",6377.1
"13_231","Pike County",27.25
"13_233","Polk County",1354.2
"13_235","Pulaski County",788.5
"13_237","Putnam County",533.1
"13_239","Quitman County",175.3
"13_241","Rabun County",94.1
"13_243","Randolph County",8090.4
"13_245","Richmond County",165.4
"13_249","Schley County",409.8
"13_251","Screven County",5181.55
"13_253","Seminole County",12148.4
"13_257","Stephens County",34.4
"13_259","Stewart County",324.2
"13_261","Sumter County",11042.5
"13_265","Taliaferro County",31.1
"13_267","Tattnall County",4151.8
"13_269","Taylor County",216.6
"13_271","Telfair County",2358.85
"13_273","Terrell County",14883.6
"13_275","Thomas County",5864.1
"13_277","Tift County",1752.1
"13_279","Toombs County",4824.28
"13_283","Treutlen County",184.6
"13_287","Turner County",1829.2
"13_289","Twiggs County",791.5
"13_291","Union County",493.9
"13_293","Upson County",356.8
"13_295","Walker County",1601.2
"13_297","Walton County",89.9
"13_299","Ware County",497
"13_301","Warren County",260.6
"13_303","Washington County",3140.4
"13_305","Wayne County",1980.12
"13_307","Webster County",1568.3
"13_309","Wheeler County",888.5
"13_311","White County",932.1
"13_313","Whitfield County",433.3
"13_315","Wilcox County",2453.7
"13_317","Wilkes County",338.4
"13_319","Wilkinson County",50
"13_321","Worth County",7416.9
"16_1","Ada County",11867.2
"16_3","Adams County",1.5
"16_11","Bingham County",5138.05
"16_19","Bonneville County",3069.3
"16_23","Butte County",302.77
"16_25","Camas County",278.8
"16_27","Canyon County",42063.18
"16_29","Caribou County",238.2
"16_31","Cassia County",24769
"16_33","Clark County",1055
"16_39","Elmore County",16176.4
"16_41","Franklin County",4504.2
"16_43","Fremont County",467.5
"16_45","Gem County",4426.47
"16_47","Gooding County",41748.81
"16_49","Idaho County",4.5
"16_51","Jefferson County",4127.35
"16_53","Jerome County",36134.04
"16_55","Kootenai County",12
"16_63","Lincoln County",12748.88
"16_65","Madison County",274.61
"16_67","Minidoka County",8804.2
"16_69","Nez Perce County",9.8
"16_71","Oneida County",1238.8
"16_73","Owyhee County",31515.43
"16_75","Payette County",10489.12
"16_77","Power County",2684.7
"16_83","Twin Falls County",58980.74
"16_87","Washington County",2570.86
"17_1","Adams County",149376.33
"17_3","Alexander County",5927.47
"17_5","Bond County",61725.6
"17_7","Boone County",82009.99
"17_9","Brown County",53707.56
"17_11","Bureau County",298230.14
"17_13","Calhoun County",23979.86
"17_15","Carroll County",164401.16
"17_17","Cass County",93917.67
"17_19","Champaign County",291634.23
"17_21","Christian County",221103.4
"17_23","Clark County",94068.27
"17_25","Clay County",77717.64
"17_27","Clinton County",82824.28
"17_29","Coles County",116109.78
"17_31","Cook County",3384.29
"17_33","Crawford County",82827.32
"17_35","Cumberland County",69943.5
"17_37","DeKalb County",239444.53
"17_39","De Witt County",108139.97
"17_41","Douglas County",139166.78
"17_43","DuPage County",2686.98
"17_45","Edgar County",169745.58
"17_47","Edwards County",31882.9
"17_49","Effingham County",89834.22
"17_51","Fayette County",103134.55
"17_53","Ford County",153344.96
"17_55","Franklin County",40425.04
"17_57","Fulton County",138142.37
"17_59","Gallatin County",69650.39
"17_61","Greene County",123234.34
"17_63","Grundy County",118490.27
"17_65","Hamilton County",62433.71
"17_67","Hancock County",170964.97
"17_69","Hardin County",2786.67
"17_71","Henderson County",102907.92
"17_73","Henry County",247852.61
"17_75","Iroquois County",354356.19
"17_77","Jackson County",27595.51
"17_79","Jasper County",102376.28
"17_81","Jefferson County",50107.95
"17_83","Jersey County",78367.76
"17_85","Jo Daviess County",104497.94
"17_87","Johnson County",6773.48
"17_89","Kane County",92156.98
"17_91","Kankakee County",205210.93
"17_93","Kendall County",97187.28
"17_95","Knox County",174936.88
"17_97","Lake County",9003.91
"17_99","La Salle County",324247.38
"17_101","Lawrence County",70348.85
"17_103","Lee County",277041.19
"17_105","Livingston County",314077.63
"17_107","Logan County",218859.61
"17_109","McDonough County",160268.94
"17_111","McHenry County",104650.12
"17_113","McLean County",351960.69
"17_115","Macon County",176247.01
"17_117","Macoupin County",206997.86
"17_119","Madison County",112743.14
"17_121","Marion County",68545.01
"17_123","Marshall County",111324.78
"17_125","Mason County",146501.12
"17_127","Massac County",25627.62
"17_129","Menard County",84797.38
"17_131","Mercer County",145290.35
"17_133","Monroe County",47501.31
"17_135","Montgomery County",170897.51
"17_137","Morgan County",153146.44
"17_139","Moultrie County",94169.35
"17_141","Ogle County",233927.52
"17_143","Peoria County",108572.13
"17_145","Perry County",50394.51
"17_147","Piatt County",158175
"17_149","Pike County",174373.44
"17_151","Pope County",5741.16
"17_153","Pulaski County",17262.99
"17_155","Putnam County",43787.49
"17_157","Randolph County",54091.79
"17_159","Richland County",77812.25
"17_161","Rock Island County",71723.38
"17_163","St. Clair County",83920.77
"17_165","Saline County",42856.95
"17_167","Sangamon County",246636.25
"17_169","Schuyler County",78672.99
"17_171","Scott County",57374.35
"17_173","Shelby County",182964.21
"17_175","Stark County",109761.71
"17_177","Stephenson County",180651.54
"17_179","Tazewell County",162793.59
"17_181","Union County",13064.79
"17_183","Vermilion County",237605.85
"17_185","Wabash County",50530.31
"17_187","Warren County",174921.92
"17_189","Washington County",95432.93
"17_191","Wayne County",96390.67
"17_193","White County",82160.15
"17_195","Whiteside County",257674.58
"17_197","Will County",103498.06
"17_199","Williamson County",14419.3
"17_201","Winnebago County",96580.44
"17_203","Woodford County",160848.89
"18_1","Adams County",66487.24
"18_3","Allen County",75620.39
"18_5","Bartholomew County",66672.51
"18_7","Benton County",130537.58
"18_9","Blackford County",20595.46
"18_11","Boone County",128672.54
"18_13","Brown County",2314.17
"18_15","Carroll County",103276.86
"18_17","Cass County",102482.48
"18_19","Clark County",17696.16
"18_21","Clay County",59604.83
"18_23","Clinton County",114844.27
"18_25","Crawford County",3326.36
"18_27","Daviess County",90116.25
"18_29","Dearborn County",8172.82
"18_31","Decatur County",77017.56
"18_33","De Kalb County",45126.61
"18_35","Delaware County",68517.9
"18_37","Dubois County",62997.1
"18_39","Elkhart County",53261.86
"18_41","Fayette County",34780.71
"18_43","Floyd County",3014.95
"18_45","Fountain County",111526.12
"18_47","Franklin County",38858.44
"18_49","Fulton County",91107.72
"18_51","Gibson County",90270.12
"18_53","Grant County",72040.73
"18_55","Greene County",42345.08
"18_57","Hamilton County",46204.34
"18_59","Hancock County",76230
"18_61","Harrison County",29258.43
"18_63","Hendricks County",45631.41
"18_65","Henry County",75512.92
"18_67","Howard County",69038.61
"18_69","Huntington County",64520.19
"18_71","Jackson County",64588.85
"18_73","Jasper County",161523.36
"18_75","Jay County",63044.3
"18_77","Jefferson County",17282.58
"18_79","Jennings County",42690.94
"18_81","Johnson County",52116.38
"18_83","Knox County",116170.9
"18_85","Kosciusko County",110622.37
"18_87","Lagrange County",48952.47
"18_89","Lake County",60161.13
"18_91","La Porte County",114727.57
"18_93","Lawrence County",19885.87
"18_95","Madison County",88529.62
"18_97","Marion County",5858.3
"18_99","Marshall County",89370.72
"18_101","Martin County",14552.56
"18_103","Miami County",67936.17
"18_105","Monroe County",6453.97
"18_107","Montgomery County",122219.51
"18_109","Morgan County",49988.34
"18_111","Newton County",118833.32
"18_113","Noble County",61860.63
"18_115","Ohio County",2447.78
"18_117","Orange County",23459.87
"18_119","Owen County",16780.22
"18_121","Parke County",61448.83
"18_123","Perry County",11471.54
"18_125","Pike County",30774.81
"18_127","Porter County",64903.24
"18_129","Posey County",82487.26
"18_131","Pulaski County",122349.17
"18_133","Putnam County",66412.12
"18_135","Randolph County",87209.6
"18_137","Ripley County",46632.18
"18_139","Rush County",103434.59
"18_141","St. Joseph County",71918.05
"18_143","Scott County",14016.63
"18_145","Shelby County",88574.73
"18_147","Spencer County",52321.37
"18_149","Starke County",61096.2
"18_151","Steuben County",39860.23
"18_153","Sullivan County",67116.92
"18_155","Switzerland County",6547.25
"18_157","Tippecanoe County",98351.19
"18_159","Tipton County",75626.45
"18_161","Union County",32148.95
"18_163","Vanderburgh County",29246.91
"18_165","Vermillion County",22523.23
"18_167","Vigo County",43997.29
"18_169","Wabash County",66341.46
"18_171","Warren County",96325.97
"18_173","Warrick County",40770.25
"18_175","Washington County",45392.21
"18_177","Wayne County",62357.59
"18_179","Wells County",71002.64
"18_181","White County",160290.34
"18_183","Whitley County",58979.08
"19_1","Adair County",112499.73
"19_3","Adams County",70408.36
"19_5","Allamakee County",91143.4
"19_7","Appanoose County",34021
"19_9","Audubon County",113490.5
"19_11","Benton County",203124.19
"19_13","Black Hawk County",153152.07
"19_15","Boone County",162056.4
"19_17","Bremer County",128173.9
"19_19","Buchanan County",191993.1
"19_21","Buena Vista County",170641.99
"19_23","Butler County",169991.6
"19_25","Calhoun County",182208.6
"19_27","Carroll County",190777.35
"19_29","Cass County",137038.32
"19_31","Cedar County",167112.81
"19_33","Cerro Gordo County",185957.73
"19_35","Cherokee County",149896.12
"19_37","Chickasaw County",148776.9
"19_39","Clarke County",39445.9
