"county","deaths","population"
"Johnson County, Kansas",1575,609864
"Kearny County, Kansas",16,3981
"Kingman County, Kansas",18,7461
"Labette County, Kansas",102,20188
"Leavenworth County, Kansas",91,81897
"Lyon County, Kansas",108,32177
"McPherson County, Kansas",95,30220
"Marion County, Kansas",23,11819
"Marshall County, Kansas",38,10038
"Meade County, Kansas",13,4055
"Miami County, Kansas",31,34205
"Mitchell County, Kansas",28,5792
"Montgomery County, Kansas",131,31484
"Morris County, Kansas",28,5389
"Nemaha County, Kansas",59,10277
"Neosho County, Kansas",63,15902
"Ness County, Kansas",15,2676
"Norton County, Kansas",37,5458
"Osage County, Kansas",18,15770
"Osborne County, Kansas",18,3501
"Ottawa County, Kansas",15,5729
"Pawnee County, Kansas",11,6259
"Phillips County, Kansas",20,4990
"Pottawatomie County, Kansas",46,25344
"Pratt County, Kansas",56,9159
"Reno County, Kansas",317,61898
"Republic County, Kansas",18,4682
"Rice County, Kansas",19,9423
"Riley County, Kansas",126,71963
"Rooks County, Kansas",19,4921
"Rush County, Kansas",15,2951
"Russell County, Kansas",24,6684
"Saline County, Kansas",337,54301
"Scott County, Kansas",29,5151
"Sedgwick County, Kansas",2165,523830
"Seward County, Kansas",77,21962
"Shawnee County, Kansas",958,178909
"Sheridan County, Kansas",11,2448
"Sherman County, Kansas",15,5928
"Smith County, Kansas",10,3560
"Stafford County, Kansas",19,4070
"Stanton County, Kansas",12,2085
"Stevens County, Kansas",12,5252
"Sumner County, Kansas",43,22392
"Thomas County, Kansas",24,7933
"Trego County, Kansas",13,2807
"Wabaunsee County, Kansas",10,6872
"Washington County, Kansas",19,5532
"Wilson County, Kansas",33,8625
"Wyandotte County, Kansas",878,169230
"Adair County, Kentucky",41,18903
"Allen County, Kentucky",55,20580
"Anderson County, Kentucky",22,23851
"Ballard County, Kentucky",15,7730
"Barren County, Kentucky",342,44482
"Bath County, Kentucky",14,12747
"Bell County, Kentucky",145,24102
"Boone County, Kentucky",272,135995
"Bourbon County, Kentucky",61,20250
"Boyd County, Kentucky",619,48253
"Boyle County, Kentucky",431,30619
"Breathitt County, Kentucky",57,13717
"Breckinridge County, Kentucky",43,20433
"Bullitt County, Kentucky",88,82226
"Butler County, Kentucky",12,12371
"Caldwell County, Kentucky",30,12648
"Calloway County, Kentucky",113,37098
"Campbell County, Kentucky",395,93075
"Carlisle County, Kentucky",10,4819
"Carroll County, Kentucky",20,10809
"Carter County, Kentucky",40,26626
"Casey County, Kentucky",28,15946
"Christian County, Kentucky",195,72818
"Clark County, Kentucky",115,36993
"Clay County, Kentucky",77,20339
"Clinton County, Kentucky",29,9253
"Crittenden County, Kentucky",28,8988
"Cumberland County, Kentucky",35,5887
"Daviess County, Kentucky",700,103320
"Edmonson County, Kentucky",28,12133
"Elliott County, Kentucky",11,7352
"Estill County, Kentucky",31,14166
"Fayette County, Kentucky",1769,322567
"Fleming County, Kentucky",34,15086
"Floyd County, Kentucky",207,35948
"Franklin County, Kentucky",235,51539
"Gallatin County, Kentucky",21,8693
"Garrard County, Kentucky",50,16949
"Grant County, Kentucky",18,24946
"Graves County, Kentucky",179,36657
"Grayson County, Kentucky",88,26418
"Green County, Kentucky",36,11109
"Greenup County, Kentucky",58,35970
"Hardin County, Kentucky",639,110694
"Harlan County, Kentucky",120,26833
"Harrison County, Kentucky",93,18692
"Hart County, Kentucky",34,19281
"Henderson County, Kentucky",128,44791
"Henry County, Kentucky",17,15682
"Hickman County, Kentucky",13,4523
"Hopkins County, Kentucky",313,45422
"Jackson County, Kentucky",13,12958
"Jefferson County, Kentucky",4041,782956
"Jessamine County, Kentucky",75,52987
"Johnson County, Kentucky",85,22679
"Kenton County, Kentucky",576,169028
"Knott County, Kentucky",22,14253
"Knox County, Kentucky",98,30196
"Larue County, Kentucky",34,14869
"Laurel County, Kentucky",331,62613
"Lawrence County, Kentucky",75,16293
"Lee County, Kentucky",32,7394
"Leslie County, Kentucky",26,10516
"Letcher County, Kentucky",106,21551
"Lewis County, Kentucky",25,13079
"Lincoln County, Kentucky",60,24276
"Livingston County, Kentucky",31,8892
"Logan County, Kentucky",59,27433
"McCracken County, Kentucky",752,67871
"McCreary County, Kentucky",16,16887
"McLean County, Kentucky",15,9152
"Madison County, Kentucky",280,92707
"Magoffin County, Kentucky",14,11639
"Marion County, Kentucky",80,19577
"Marshall County, Kentucky",56,31661
"Martin County, Kentucky",13,11287
"Mason County, Kentucky",152,17121
"Meade County, Kentucky",31,30011
"Menifee County, Kentucky",12,6114
"Mercer County, Kentucky",54,22643
"Metcalfe County, Kentucky",20,10288
"Monroe County, Kentucky",49,11336
"Montgomery County, Kentucky",87,28104
"Morgan County, Kentucky",25,13724
"Muhlenberg County, Kentucky",57,30930
"Nelson County, Kentucky",87,46737
"Nicholas County, Kentucky",13,7532
"Ohio County, Kentucky",61,23772
"Oldham County, Kentucky",104,67609
"Owen County, Kentucky",20,11271
"Owsley County, Kentucky",10,4052
"Pendleton County, Kentucky",16,14652
"Perry County, Kentucky",458,28465
"Pike County, Kentucky",740,58663
"Powell County, Kentucky",15,13128
"Pulaski County, Kentucky",458,65033
"Robertson County, Kentucky",10,2192
"Rockcastle County, Kentucky",123,16042
"Rowan County, Kentucky",174,24654
"Russell County, Kentucky",83,17990
"Scott County, Kentucky",99,57153
"Shelby County, Kentucky",92,48101
"Simpson County, Kentucky",43,19595
"Spencer County, Kentucky",17,19433
"Taylor County, Kentucky",110,26019
"Todd County, Kentucky",13,12249
"Trigg County, Kentucky",19,14057
"Union County, Kentucky",19,13670
"Warren County, Kentucky",883,134551
"Washington County, Kentucky",32,12028
"Wayne County, Kentucky",54,19559
"Webster County, Kentucky",10,13014
"Whitley County, Kentucky",327,36715
"Woodford County, Kentucky",28,26874
"Acadia Parish, Louisiana",166,57569
"Allen Parish, Louisiana",75,22751
"Ascension Parish, Louisiana",109,126498
"Assumption Parish, Louisiana",16,21040
"Avoyelles Parish, Louisiana",76,39690
"Beauregard Parish, Louisiana",78,36554
"Bienville Parish, Louisiana",19,12989
"Bossier Parish, Louisiana",388,128736
"Caddo Parish, Louisiana",1988,237857
"Calcasieu Parish, Louisiana",728,216779
"Caldwell Parish, Louisiana",28,9642
"Catahoula Parish, Louisiana",13,8903
"Claiborne Parish, Louisiana",53,14168
"Concordia Parish, Louisiana",36,18681
"De Soto Parish, Louisiana",38,26809
"East Baton Rouge Parish, Louisiana",2429,456781
"East Feliciana Parish, Louisiana",49,19536
"Evangeline Parish, Louisiana",105,32351
"Franklin Parish, Louisiana",66,19774
"Grant Parish, Louisiana",29,22163
"Iberia Parish, Louisiana",165,70293
"Iberville Parish, Louisiana",27,30240
"Jackson Parish, Louisiana",24,15034
"Jefferson Parish, Louisiana",1976,440794
"Jefferson Davis Parish, Louisiana",119,32250
"Lafayette Parish, Louisiana",949,241756
"Lafourche Parish, Louisiana",394,97552
"La Salle Parish, Louisiana",54,NA
"Lincoln Parish, Louisiana",150,48398
"Livingston Parish, Louisiana",79,142284
"Madison Parish, Louisiana",16,10015
"Morehouse Parish, Louisiana",55,25629
"Natchitoches Parish, Louisiana",149,37519
"Orleans Parish, Louisiana",970,383998
"Ouachita Parish, Louisiana",1247,160364
"Pointe Coupee Parish, Louisiana",42,20757
"Rapides Parish, Louisiana",917,130030
"Red River Parish, Louisiana",34,7624
"Richland Parish, Louisiana",41,20049
"Sabine Parish, Louisiana",44,22144
"St. Bernard Parish, Louisiana",54,43766
"St. Charles Parish, Louisiana",70,52548
"St. James Parish, Louisiana",33,20194
"St. John the Baptist Parish, Louisiana",44,42477
"St. Landry Parish, Louisiana",340,82552
"St. Martin Parish, Louisiana",45,51766
"St. Mary Parish, Louisiana",194,49405
"St. Tammany Parish, Louisiana",1041,264575
"Tangipahoa Parish, Louisiana",617,133149
"Terrebonne Parish, Louisiana",323,109583
"Union Parish, Louisiana",57,21106
"Vermilion Parish, Louisiana",100,56973
"Vernon Parish, Louisiana",95,48754
"Washington Parish, Louisiana",142,45456
"Webster Parish, Louisiana",116,36963
"West Baton Rouge Parish, Louisiana",21,27201
"West Carroll Parish, Louisiana",39,9755
"West Feliciana Parish, Louisiana",14,15307
"Winn Parish, Louisiana",47,13755
"Barnstable County, Massachusetts",587,229004
"Berkshire County, Massachusetts",403,129036
"Bristol County, Massachusetts",2015,579210
"Essex County, Massachusetts",2572,809818
"Franklin County, Massachusetts",101,71035
"Hampden County, Massachusetts",1934,465834
"Hampshire County, Massachusetts",294,162305
"Middlesex County, Massachusetts",4150,1632002
"Norfolk County, Massachusetts",1558,725999
"Plymouth County, Massachusetts",1470,530820
"Suffolk County, Massachusetts",3035,797941
"Worcester County, Massachusetts",2708,862099
"Allegany County, Maryland",508,68115
"Anne Arundel County, Maryland",1345,588265
"Baltimore County, Maryland",2604,854554
"Calvert County, Maryland",158,92785
"Caroline County, Maryland",33,33299
"Carroll County, Maryland",505,172890
"Cecil County, Maryland",283,103726
"Charles County, Maryland",353,166621
"Dorchester County, Maryland",48,32530
"Frederick County, Maryland",579,271709
"Garrett County, Maryland",139,28804
"Harford County, Maryland",629,260924
"Howard County, Maryland",401,332316
"Kent County, Maryland",53,19195
"Montgomery County, Maryland",3205,1062054
"Prince George's County, Maryland",2117,967194
"Queen Anne's County, Maryland",54,49871
"St. Mary's County, Maryland",256,113775
"Somerset County, Maryland",20,24618
"Talbot County, Maryland",164,37520
"Washington County, Maryland",710,154709
"Wicomico County, Maryland",606,103586
"Worcester County, Maryland",195,52460
"Baltimore city, Maryland",2793,585693
"Androscoggin County, Maine",426,111147
"Aroostook County, Maine",167,67107
"Cumberland County, Maine",759,303076
"Franklin County, Maine",63,29447
"Hancock County, Maine",92,55477
"Kennebec County, Maine",314,123636
"Knox County, Maine",41,40608
"Lincoln County, Maine",27,35240
"Oxford County, Maine",128,57766
"Penobscot County, Maine",522,152202
"Piscataquis County, Maine",49,16799
"Sagadahoc County, Maine",21,36699
"Somerset County, Maine",94,50472
"Waldo County, Maine",51,39596
"Washington County, Maine",35,31088
"York County, Maine",321,211981
"Alcona County, Michigan",22,10167
"Alger County, Michigan",12,8837
"Allegan County, Michigan",161,120499
"Alpena County, Michigan",196,28909
"Antrim County, Michigan",17,23428
"Arenac County, Michigan",45,15007
"Baraga County, Michigan",41,8149
"Barry County, Michigan",82,62428
"Bay County, Michigan",653,103856
"Benzie County, Michigan",29,17973
"Berrien County, Michigan",613,154320
"Branch County, Michigan",126,44860
"Calhoun County, Michigan",529,134293
"Cass County, Michigan",70,51591
"Charlevoix County, Michigan",33,26051
"Cheboygan County, Michigan",64,25586
"Chippewa County, Michigan",95,36784
"Clare County, Michigan",89,30857
"Clinton County, Michigan",72,79123
"Crawford County, Michigan",105,12994
"Delta County, Michigan",140,36896
"Dickinson County, Michigan",129,25952
"Eaton County, Michigan",135,109174
"Emmet County, Michigan",204,34105
"Genesee County, Michigan",1794,406217
"Gladwin County, Michigan",49,25386
"Gogebic County, Michigan",55,14377
"Grand Traverse County, Michigan",514,95246
"Gratiot County, Michigan",207,41752
"Hillsdale County, Michigan",119,45759
"Houghton County, Michigan",90,37360
"Huron County, Michigan",78,31408
"Ingham County, Michigan",1225,284891
"Ionia County, Michigan",69,66793
"Iosco County, Michigan",113,25230
"Iron County, Michigan",85,11628
"Isabella County, Michigan",156,64396
"Jackson County, Michigan",643,160375
"Kalamazoo County, Michigan",1220,261663
"Kalkaska County, Michigan",20,17928
"Kent County, Michigan",2242,657984
"Lake County, Michigan",14,12100
"Lapeer County, Michigan",362,88615
"Leelanau County, Michigan",21,22304
"Lenawee County, Michigan",243,99424
"Livingston County, Michigan",228,193869
"Luce County, Michigan",20,5339
"Mackinac County, Michigan",15,10831
"Macomb County, Michigan",2871,881219
"Manistee County, Michigan",60,25029
"Marquette County, Michigan",248,66020
"Mason County, Michigan",86,29063
"Mecosta County, Michigan",106,39713
"Menominee County, Michigan",41,23500
"Midland County, Michigan",338,83498
"Missaukee County, Michigan",25,15048
"Monroe County, Michigan",290,154812
"Montcalm County, Michigan",160,66622
"Montmorency County, Michigan",10,9154
"Muskegon County, Michigan",725,175814
"Newaygo County, Michigan",91,49971
"Oakland County, Michigan",5498,1274395
"Oceana County, Michigan",40,26658
"Ogemaw County, Michigan",102,20769
"Ontonagon County, Michigan",19,5814
"Osceola County, Michigan",29,22890
"Oscoda County, Michigan",17,8225
"Otsego County, Michigan",79,25095
"Ottawa County, Michigan",601,296207
"Presque Isle County, Michigan",25,12981
"Roscommon County, Michigan",27,23450
"Saginaw County, Michigan",1252,190128
"St. Clair County, Michigan",769,160382
"St. Joseph County, Michigan",108,60939
"Sanilac County, Michigan",79,40619
"Schoolcraft County, Michigan",14,8049
"Shiawassee County, Michigan",183,68095
"Tuscola County, Michigan",79,53322
"Van Buren County, Michigan",123,75593
"Washtenaw County, Michigan",1310,372265
"Wayne County, Michigan",7495,1793549
"Wexford County, Michigan",136,33668
"Aitkin County, Minnesota",59,15703
"Anoka County, Minnesota",956,363892
"Becker County, Minnesota",69,35176
"Beltrami County, Minnesota",147,46230
"Benton County, Minnesota",117,41381
"Big Stone County, Minnesota",17,5168
"Blue Earth County, Minnesota",183,69129
"Brown County, Minnesota",68,25914
"Carlton County, Minnesota",76,36201
"Carver County, Minnesota",146,106914
"Cass County, Minnesota",28,30065
"Chippewa County, Minnesota",42,12594
"Chisago County, Minnesota",108,56621
"Clay County, Minnesota",92,65309
"Cottonwood County, Minnesota",38,11506
"Crow Wing County, Minnesota",189,66122
"Dakota County, Minnesota",600,439884
"Dodge County, Minnesota",11,20873
"Douglas County, Minnesota",122,39002
"Faribault County, Minnesota",43,13922
"Fillmore County, Minnesota",28,21229
"Freeborn County, Minnesota",63,30901
"Goodhue County, Minnesota",125,47580
"Grant County, Minnesota",11,6075
"Hennepin County, Minnesota",3912,1281568
"Houston County, Minnesota",20,18849
"Hubbard County, Minnesota",57,21348
"Isanti County, Minnesota",72,41133
"Itasca County, Minnesota",122,45018
"Jackson County, Minnesota",11,9992
"Kanabec County, Minnesota",41,16027
"Kandiyohi County, Minnesota",137,43733
"Kittson County, Minnesota",29,4217
"Koochiching County, Minnesota",32,12059
"Lac qui Parle County, Minnesota",25,6722
"Lake County, Minnesota",24,10910
"Le Sueur County, Minnesota",30,28672
"Lincoln County, Minnesota",12,5644
"Lyon County, Minnesota",70,25268
"McLeod County, Minnesota",74,36759
"Mahnomen County, Minnesota",14,5400
"Marshall County, Minnesota",12,9032
"Martin County, Minnesota",52,20024
"Meeker County, Minnesota",63,23400
"Mille Lacs County, Minnesota",77,26467
"Morrison County, Minnesota",90,34010
"Mower County, Minnesota",75,40034
"Murray County, Minnesota",13,8175
"Nicollet County, Minnesota",52,34464
"Nobles County, Minnesota",45,22294
"Olmsted County, Minnesota",599,162849
"Otter Tail County, Minnesota",119,60074
"Pennington County, Minnesota",37,13999
"Pine County, Minnesota",34,28883
"Pipestone County, Minnesota",23,9416
"Polk County, Minnesota",93,31194
"Pope County, Minnesota",22,11309
"Ramsey County, Minnesota",2178,552362
"Redwood County, Minnesota",35,15419
"Renville County, Minnesota",43,14730
"Rice County, Minnesota",133,67098
"Rock County, Minnesota",29,9701
"Roseau County, Minnesota",35,15323
"St. Louis County, Minnesota",890,200223
"Scott County, Minnesota",192,150930
"Sherburne County, Minnesota",106,97186
"Sibley County, Minnesota",19,14842
"Stearns County, Minnesota",709,158297
"Steele County, Minnesota",72,37400
"Swift County, Minnesota",26,9835
"Todd County, Minnesota",59,25253
"Wabasha County, Minnesota",14,21380
"Wadena County, Minnesota",51,14065
"Waseca County, Minnesota",28,18966
"Washington County, Minnesota",437,267563
"Watonwan County, Minnesota",19,11251
"Wilkin County, Minnesota",17,6513
"Winona County, Minnesota",86,49662
"Wright County, Minnesota",212,141336
"Yellow Medicine County, Minnesota",27,9533
"Adair County, Missouri",77,25315
"Andrew County, Missouri",21,18128
"Atchison County, Missouri",20,5306
"Audrain County, Missouri",61,24964
"Barry County, Missouri",50,34533
"Barton County, Missouri",33,11625
"Bates County, Missouri",50,16032
"Benton County, Missouri",47,19395
"Bollinger County, Missouri",19,10572
"Boone County, Missouri",864,183607
"Buchanan County, Missouri",473,84798
"Butler County, Missouri",291,42128
"Callaway County, Missouri",50,44290
"Camden County, Missouri",270,42746
"Cape Girardeau County, Missouri",537,81707
"Carroll County, Missouri",28,8497
"Cass County, Missouri",163,107816
"Cedar County, Missouri",32,14187
"Chariton County, Missouri",25,7409
"Christian County, Missouri",62,88846
"Clark County, Missouri",20,6640
"Clay County, Missouri",1087,253322
"Clinton County, Missouri",119,21182
"Cole County, Missouri",532,77284
"Cooper County, Missouri",30,17108
"Crawford County, Missouri",118,23059
"Dade County, Missouri",23,7571
"Dallas County, Missouri",40,17070
"DeKalb County, Missouri",15,11039
"Dent County, Missouri",50,14419
"Douglas County, Missouri",34,11575
"Dunklin County, Missouri",33,28286
"Franklin County, Missouri",324,104688
"Gasconade County, Missouri",84,14794
"Gentry County, Missouri",17,6165
"Greene County, Missouri",2233,298915
"Grundy County, Missouri",38,9814
"Harrison County, Missouri",16,8158
"Henry County, Missouri",43,21946
"Hickory County, Missouri",20,8277
"Howard County, Missouri",16,10148
"Howell County, Missouri",220,39748
"Iron County, Missouri",14,9537
"Jackson County, Missouri",2858,717206
"Jasper County, Missouri",155,122750
"Jefferson County, Missouri",499,226572
"Johnson County, Missouri",100,54007
"Laclede County, Missouri",100,36042
"Lafayette County, Missouri",65,32994
"Lawrence County, Missouri",98,37995
"Lincoln County, Missouri",67,59577
"Linn County, Missouri",30,11870
"Livingston County, Missouri",74,14546
"McDonald County, Missouri",15,23308
"Macon County, Missouri",42,15212
"Madison County, Missouri",24,12627
"Marion County, Missouri",184,28527
"Mercer County, Missouri",10,3537
"Miller County, Missouri",38,24726
"Mississippi County, Missouri",16,12575
"Moniteau County, Missouri",27,15477
"Monroe County, Missouri",19,8662
"Montgomery County, Missouri",28,11319
"Morgan County, Missouri",45,21000
"New Madrid County, Missouri",34,16435
"Newton County, Missouri",885,58644
"Nodaway County, Missouri",35,21240
"Osage County, Missouri",16,13281
"Ozark County, Missouri",20,8556
"Pemiscot County, Missouri",33,15661
"Perry County, Missouri",21,18954
"Pettis County, Missouri",182,42984
"Phelps County, Missouri",317,44640
"Pike County, Missouri",16,17590
"Platte County, Missouri",193,106718
"Polk County, Missouri",165,31521
"Pulaski County, Missouri",29,53958
"Putnam County, Missouri",13,4680
"Randolph County, Missouri",75,24713
"Ray County, Missouri",24,23160
"St. Charles County, Missouri",1041,405262
"St. Clair County, Missouri",18,9287
"Ste. Genevieve County, Missouri",19,18479
"St. Francois County, Missouri",196,66926
"St. Louis County, Missouri",4628,1004310
"Saline County, Missouri",68,23319
"Schuyler County, Missouri",16,4034
"Scotland County, Missouri",22,4709
"Scott County, Missouri",158,38058
"Shannon County, Missouri",11,7027
"Stoddard County, Missouri",49,28674
"Stone County, Missouri",16,31077
"Sullivan County, Missouri",12,5999
"Taney County, Missouri",169,56058
"Texas County, Missouri",78,24495
"Vernon County, Missouri",62,19710
"Warren County, Missouri",31,35538
"Washington County, Missouri",51,23514
"Wayne County, Missouri",14,10973
"Webster County, Missouri",61,39085
"Wright County, Missouri",18,18187
"St. Louis city, Missouri",1255,301574
"Adams County, Mississippi",167,29538
"Alcorn County, Mississippi",286,34743
"Amite County, Mississippi",33,12721
"Attala County, Mississippi",68,17885
"Benton County, Mississippi",16,7644
"Bolivar County, Mississippi",100,30973
"Calhoun County, Mississippi",80,13267
"Carroll County, Mississippi",19,9995
"Chickasaw County, Mississippi",37,17103
"Claiborne County, Mississippi",29,9135
"Clarke County, Mississippi",34,15615
"Clay County, Mississippi",61,18635
"Coahoma County, Mississippi",94,21393
"Copiah County, Mississippi",66,28371
"Covington County, Mississippi",42,18339
"DeSoto County, Mississippi",962,185317
"Forrest County, Mississippi",821,78163
"Franklin County, Mississippi",20,7681
"George County, Mississippi",79,24348
"Grenada County, Mississippi",117,21627
"Hancock County, Mississippi",55,46047
"Harrison County, Mississippi",873,208621
"Hinds County, Mississippi",2089,227750
"Holmes County, Mississippi",35,17001
"Humphreys County, Mississippi",13,7790
"Itawamba County, Mississippi",27,23861
"Jackson County, Mississippi",578,143259
"Jasper County, Mississippi",12,16370
"Jefferson County, Mississippi",12,7260
"Jefferson Davis County, Mississippi",24,11323
"Jones County, Mississippi",312,67248
"Kemper County, Mississippi",16,8981
"Lafayette County, Mississippi",573,55812
"Lamar County, Mississippi",293,64223
"Lauderdale County, Mississippi",795,72983
"Lawrence County, Mississippi",22,12015
"Leake County, Mississippi",89,21272
"Lee County, Mississippi",1060,83347
"Leflore County, Mississippi",292,28348
"Lincoln County, Mississippi",177,34906
"Lowndes County, Mississippi",483,58882
"Madison County, Mississippi",282,109149
"Marion County, Mississippi",47,24438
"Marshall County, Mississippi",82,33755
"Monroe County, Mississippi",211,34179
"Montgomery County, Mississippi",77,9822
"Neshoba County, Mississippi",86,29094
"Newton County, Mississippi",23,21293
"Noxubee County, Mississippi",19,10279
"Oktibbeha County, Mississippi",176,51780
"Panola County, Mississippi",107,33209
"Pearl River County, Mississippi",127,56144
"Perry County, Mississippi",10,11514
"Pike County, Mississippi",213,40329
"Pontotoc County, Mississippi",89,31192
"Prentiss County, Mississippi",103,25000
"Rankin County, Mississippi",319,157026
"Scott County, Mississippi",40,27987
"Sharkey County, Mississippi",17,3798
"Simpson County, Mississippi",118,25950
"Smith County, Mississippi",19,14209
"Stone County, Mississippi",18,18336
"Sunflower County, Mississippi",106,25973
"Tallahatchie County, Mississippi",22,12715
"Tate County, Mississippi",66,28066
"Tippah County, Mississippi",66,21810
"Tishomingo County, Mississippi",66,18854
"Tunica County, Mississippi",14,9777
"Union County, Mississippi",155,27782
"Walthall County, Mississippi",21,13882
"Warren County, Mississippi",296,44721
"Washington County, Mississippi",303,44918
"Wayne County, Mississippi",88,19774
"Webster County, Mississippi",60,9924
"Wilkinson County, Mississippi",22,8586
"Winston County, Mississippi",68,17709
"Yalobusha County, Mississippi",22,12487
"Yazoo County, Mississippi",62,26748
"Beaverhead County, Montana",35,9374
"Big Horn County, Montana",16,13127
"Blaine County, Montana",10,7042
"Carbon County, Montana",16,10476
"Cascade County, Montana",530,84413
"Custer County, Montana",40,11867
"Dawson County, Montana",53,8943
"Deer Lodge County, Montana",42,9424
"Fergus County, Montana",46,11443
"Flathead County, Montana",412,104349
"Gallatin County, Montana",131,118957
"Glacier County, Montana",31,13771
"Hill County, Montana",66,16304
"Lake County, Montana",73,31132
"Lewis and Clark County, Montana",222,70967
"Lincoln County, Montana",43,19678
"Madison County, Montana",11,8626
"Missoula County, Montana",381,117924
"Musselshell County, Montana",11,4732
"Park County, Montana",43,17193
"Phillips County, Montana",15,4215
"Powell County, Montana",18,6944
"Ravalli County, Montana",114,44172
"Richland County, Montana",25,11493
"Roosevelt County, Montana",37,10792
"Rosebud County, Montana",14,8331
"Sanders County, Montana",40,12403
"Silver Bow County, Montana",145,35128
"Valley County, Montana",31,7577
"Yellowstone County, Montana",1123,164722
"Alamance County, North Carolina",449,171429
"Alexander County, North Carolina",44,36440
"Alleghany County, North Carolina",20,10886
"Anson County, North Carolina",47,22052
"Ashe County, North Carolina",106,26581
"Avery County, North Carolina",20,17812
"Beaufort County, North Carolina",188,44658
"Bertie County, North Carolina",27,17934
"Bladen County, North Carolina",43,29617
"Brunswick County, North Carolina",269,136694
"Buncombe County, North Carolina",1213,269446
"Burke County, North Carolina",428,87573
"Cabarrus County, North Carolina",907,225807
"Caldwell County, North Carolina",353,80664
"Carteret County, North Carolina",177,67686
"Caswell County, North Carolina",21,22738
"Catawba County, North Carolina",947,160609
"Chatham County, North Carolina",130,76270
"Cherokee County, North Carolina",102,28769
"Chowan County, North Carolina",84,13705
"Clay County, North Carolina",46,11085
"Cleveland County, North Carolina",611,99521
"Columbus County, North Carolina",210,50625
"Craven County, North Carolina",396,100718
"Cumberland County, North Carolina",986,334728
"Currituck County, North Carolina",13,28103
"Dare County, North Carolina",23,36910
"Davidson County, North Carolina",438,168933
"Davie County, North Carolina",56,42715
"Duplin County, North Carolina",152,48705
"Durham County, North Carolina",938,324849
"Edgecombe County, North Carolina",192,48897
"Forsyth County, North Carolina",2010,382584
"Franklin County, North Carolina",47,68578
"Gaston County, North Carolina",1016,227942
"Gates County, North Carolina",14,10475
"Granville County, North Carolina",113,61001
"Greene County, North Carolina",15,20449
"Guilford County, North Carolina",2006,541309
"Halifax County, North Carolina",185,48622
"Harnett County, North Carolina",286,133554
"Haywood County, North Carolina",246,62097
"Henderson County, North Carolina",512,116279
"Hertford County, North Carolina",147,21552
"Hoke County, North Carolina",78,52081
"Iredell County, North Carolina",691,186699
"Jackson County, North Carolina",123,43107
"Johnston County, North Carolina",387,215991
"Jones County, North Carolina",12,9173
"Lee County, North Carolina",129,63281
"Lenoir County, North Carolina",259,55124
"Lincoln County, North Carolina",240,86816
"McDowell County, North Carolina",106,44577
"Macon County, North Carolina",109,37016
"Madison County, North Carolina",40,21192
"Martin County, North Carolina",36,22035
"Mecklenburg County, North Carolina",3084,1115526
"Mitchell County, North Carolina",99,14906
"Montgomery County, North Carolina",40,25752
"Moore County, North Carolina",780,99725
"Nash County, North Carolina",391,94967
"New Hanover County, North Carolina",898,225705
"Northampton County, North Carolina",31,17474
"Onslow County, North Carolina",353,204585
"Orange County, North Carolina",512,148707
"Pamlico County, North Carolina",10,12274
"Pasquotank County, North Carolina",246,40568
"Pender County, North Carolina",46,60208
"Perquimans County, North Carolina",10,13006
"Person County, North Carolina",83,39093
"Pitt County, North Carolina",832,170241
"Polk County, North Carolina",61,19330
"Randolph County, North Carolina",305,144151
"Richmond County, North Carolina",185,42953
"Robeson County, North Carolina",430,116516
"Rockingham County, North Carolina",249,91100
"Rowan County, North Carolina",621,146878
"Rutherford County, North Carolina",319,64444
"Sampson County, North Carolina",126,59040
"Scotland County, North Carolina",293,34180
"Stanly County, North Carolina",170,62506
"Stokes County, North Carolina",65,44523
"Surry County, North Carolina",533,71367
"Swain County, North Carolina",25,14115
"Transylvania County, North Carolina",74,32986
"Union County, North Carolina",524,238233
"Vance County, North Carolina",201,42570
"Wake County, North Carolina",2044,1129393
"Washington County, North Carolina",38,11001
"Watauga County, North Carolina",156,54077
"Wayne County, North Carolina",521,117324
"Wilkes County, North Carolina",242,65968
"Wilson County, North Carolina",345,78786
"Yadkin County, North Carolina",46,37211
"Yancey County, North Carolina",38,18470
"Adams County, North Dakota",21,2200
"Barnes County, North Dakota",41,10848
"Bottineau County, North Dakota",15,6378
"Burleigh County, North Dakota",556,98466
"Cass County, North Dakota",1061,184528
"Dickey County, North Dakota",34,5002
"Foster County, North Dakota",19,3396
"Grand Forks County, North Dakota",244,73169
"Grant County, North Dakota",12,2302
"LaMoure County, North Dakota",15,4091
"McHenry County, North Dakota",19,5332
"McLean County, North Dakota",40,9770
"Morton County, North Dakota",60,33287
"Nelson County, North Dakota",18,3015
"Pembina County, North Dakota",13,6832
"Pierce County, North Dakota",32,3983
"Ramsey County, North Dakota",50,11604
"Ransom County, North Dakota",30,5699
"Renville County, North Dakota",10,2282
"Richland County, North Dakota",10,16528
"Rolette County, North Dakota",20,12192
"Stark County, North Dakota",81,33647
"Stutsman County, North Dakota",82,21607
"Traill County, North Dakota",24,8000
"Walsh County, North Dakota",36,10558
"Ward County, North Dakota",357,69933
"Wells County, North Dakota",12,3986
"Williams County, North Dakota",51,40950
"Adams County, Nebraska",126,31202
"Antelope County, Nebraska",15,6292
"Boone County, Nebraska",16,5377
"Box Butte County, Nebraska",22,10841
"Buffalo County, Nebraska",245,50089
"Burt County, Nebraska",14,6727
"Cass County, Nebraska",31,26598
"Cedar County, Nebraska",23,8378
"Cheyenne County, Nebraska",29,9468
