"county","deaths","population"
"Boone County, Arkansas",164,37372
"Bradley County, Arkansas",31,10540
"Carroll County, Arkansas",34,28260
"Chicot County, Arkansas",31,10212
"Clark County, Arkansas",40,21447
"Clay County, Arkansas",52,14548
"Cleburne County, Arkansas",64,24705
"Cleveland County, Arkansas",13,7548
"Columbia County, Arkansas",94,22798
"Conway County, Arkansas",18,20709
"Craighead County, Arkansas",1139,111233
"Crawford County, Arkansas",90,60130
"Crittenden County, Arkansas",68,48169
"Cross County, Arkansas",49,16830
"Dallas County, Arkansas",30,6479
"Desha County, Arkansas",19,11395
"Drew County, Arkansas",35,17348
"Faulkner County, Arkansas",484,123498
"Franklin County, Arkansas",35,17101
"Fulton County, Arkansas",59,12077
"Garland County, Arkansas",776,100172
"Grant County, Arkansas",19,17966
"Greene County, Arkansas",93,45740
"Hempstead County, Arkansas",45,20062
"Hot Spring County, Arkansas",41,33046
"Howard County, Arkansas",42,12784
"Independence County, Arkansas",333,37931
"Izard County, Arkansas",32,13574
"Jackson County, Arkansas",27,16760
"Jefferson County, Arkansas",301,67261
"Johnson County, Arkansas",59,25749
"Lawrence County, Arkansas",31,16216
"Lee County, Arkansas",17,8597
"Lincoln County, Arkansas",17,12936
"Little River County, Arkansas",49,12028
"Logan County, Arkansas",45,21132
"Lonoke County, Arkansas",61,74010
"Madison County, Arkansas",13,16521
"Marion County, Arkansas",34,16832
"Miller County, Arkansas",48,42595
"Mississippi County, Arkansas",78,40692
"Montgomery County, Arkansas",23,8486
"Nevada County, Arkansas",15,8315
"Newton County, Arkansas",24,7225
"Ouachita County, Arkansas",93,22648
"Phillips County, Arkansas",44,16576
"Pike County, Arkansas",14,10180
"Poinsett County, Arkansas",19,22965
"Polk County, Arkansas",114,19223
"Pope County, Arkansas",160,63385
"Prairie County, Arkansas",10,8284
"Pulaski County, Arkansas",2530,399117
"Randolph County, Arkansas",44,18571
"St. Francis County, Arkansas",42,23089
"Saline County, Arkansas",269,123424
"Scott County, Arkansas",26,9833
"Searcy County, Arkansas",21,7831
"Sebastian County, Arkansas",1105,127800
"Sevier County, Arkansas",13,15844
"Sharp County, Arkansas",28,17280
"Stone County, Arkansas",33,12358
"Union County, Arkansas",179,39049
"Van Buren County, Arkansas",18,15797
"Washington County, Arkansas",912,245866
"White County, Arkansas",409,76822
"Yell County, Arkansas",43,20259
"Apache County, Arizona",169,66024
"Cochise County, Arizona",288,125448
"Coconino County, Arizona",494,145100
"Gila County, Arizona",254,53273
"Graham County, Arizona",120,38533
"La Paz County, Arizona",49,16555
"Maricopa County, Arizona",18752,4420574
"Mohave County, Arizona",1333,213269
"Navajo County, Arizona",426,106716
"Pima County, Arizona",4790,1043434
"Pinal County, Arizona",747,425257
"Santa Cruz County, Arizona",36,47665
"Yavapai County, Arizona",1113,236218
"Yuma County, Arizona",1172,203880
"Alameda County, California",2524,1682331
"Amador County, California",103,40474
"Butte County, California",755,211631
"Calaveras County, California",62,45285
"Colusa County, California",35,21837
"Contra Costa County, California",1661,1165927
"Del Norte County, California",65,27745
"El Dorado County, California",237,191184
"Fresno County, California",3223,1008650
"Glenn County, California",65,28915
"Humboldt County, California",213,136465
"Imperial County, California",864,179709
"Inyo County, California",50,19025
"Kern County, California",2667,909244
"Kings County, California",576,152488
"Lake County, California",112,68158
"Lassen County, California",51,32730
"Los Angeles County, California",32458,10014042
"Madera County, California",384,156259
"Marin County, California",357,262318
"Mariposa County, California",11,17128
"Mendocino County, California",146,91595
"Merced County, California",589,281202
"Modoc County, California",20,8700
"Monterey County, California",795,439036
"Napa County, California",202,138024
"Nevada County, California",181,102235
"Orange County, California",8793,3186979
"Placer County, California",1207,404740
"Plumas County, California",23,19796
"Riverside County, California",8428,2418177
"Sacramento County, California",3742,1585046
"San Benito County, California",96,64207
"San Bernardino County, California",8822,2181662
"San Diego County, California",7667,3298635
"San Francisco County, California",1075,873959
"San Joaquin County, California",2507,779227
"San Luis Obispo County, California",495,282443
"San Mateo County, California",948,764432
"Santa Barbara County, California",935,448217
"Santa Clara County, California",3175,1936274
"Santa Cruz County, California",433,270869
"Shasta County, California",805,182152
"Siskiyou County, California",110,44075
"Solano County, California",888,453490
"Sonoma County, California",791,488875
"Stanislaus County, California",2669,552880
"Sutter County, California",93,99631
"Tehama County, California",196,65831
"Tulare County, California",1566,473117
"Tuolumne County, California",223,55623
"Ventura County, California",1822,843843
"Yolo County, California",319,216405
"Yuba County, California",312,81578
"Adams County, Colorado",1735,519582
"Alamosa County, Colorado",77,16381
"Arapahoe County, Colorado",1530,655058
"Baca County, Colorado",13,3510
"Bent County, Colorado",16,5651
"Boulder County, Colorado",794,330764
"Broomfield County, Colorado",80,74105
"Chaffee County, Colorado",44,19473
"Conejos County, Colorado",23,7467
"Crowley County, Colorado",13,5919
"Delta County, Colorado",132,31199
"Denver County, Colorado",1510,715538
"Douglas County, Colorado",674,357998
"Eagle County, Colorado",20,55730
"Elbert County, Colorado",23,26049
"El Paso County, Colorado",2273,730402
"Fremont County, Colorado",152,48938
"Garfield County, Colorado",94,61688
"Grand County, Colorado",12,15717
"Huerfano County, Colorado",31,6816
